"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All%26queryText%3D%28%28p_Abstract%3A.QT.business+process.QT.+OR+p_Abstract%3A.QT.process-oriented.QT.+OR+.QT.process+oriented.QT.+OR+p_Abstract%3A.QT.process-integrated.QT.+%29+AND+%28p_Abstract%3A.QT.elearning+OR+p_Abstract%3Alearning+OR+p_Abstract%3Ateaching+OR+p_Abstract%3A.QT.e-learning.QT.%29%29",2016/09/22 09:09:49
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Application of GRID Computating and Workflow Technology in E-Commerce Learning","Q. Zhiming; L. Jinxian","Sch. of Civil Eng., Hebei Univ. of Eng., Handan, China","Electronic Commerce and Security, 2009. ISECS '09. Second International Symposium on","","2009","1","","408","412","Application of GRID computing technology in education, particularly in the field of E-Commerce learning, gradually forms the new research direction of E-Commerce learning GRID. And workflow technology is process-oriented system integration which accommodates document management system, database and Internet services and realizes distributed synchronous or asynchronous collaboration. These basic features of Workflow technology provides technical assurance for its application in distance education. The research projects and references are focused on analyzing the drawback of widespread E-Commerce learning system and stressed workflow technology improvement. It is concluded that the effective integration of learning activities is obtained through collaborating E-Commerce learning environment and provides a more flexible and efficient learning environment for E-Commerce learning.","","","10.1109/ISECS.2009.20","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5209801","E-Commerce learning;GRID computing;education workflow","Collaborative work;Computer applications;Distance learning;Distributed databases;Educational technology;Grid computing;Learning systems;Spatial databases;Technology management;Web and internet services","computer aided instruction;electronic commerce;grid computing","GRID computing;Internet services;database;distance education;distributed asynchronous collaboration;distributed synchronous collaboration;document management system;e-commerce learning;process-oriented system integration;workflow technology","","0","","9","","","22-24 May 2009","","IEEE","IEEE Conference Publications"
"A Balanced Scorecard Approach to Perioperative Process Management: A Case Study Perspective","J. Ryan; C. Lewis; C. Fretwell; B. Doster; S. Daily","","System Sciences (HICSS), 2013 46th Hawaii International Conference on","","2013","","","2606","2615","This study examines business process management practices of balanced scorecard and dashboard applications to monitor, measure, and improve a hospital's perioperative process at strategic, tactical, and day-to-day operations levels. This paper identifies how dynamic technological activities of analysis, evaluation, and synthesis applied to internal and external organizational data can highlight complex relationships within integrated hospital processes to target opportunities for improvement and ultimately yield improved process capabilities. The identification of existing limitations, potential capabilities, and the subsequent contextual understanding are contributing factors that yield measured improvement within a hospital's perioperative process. Based on a 90-month longitudinal study of a large 909 registered-bed teaching hospital, this case study investigates the impact of integrated information systems to identify, qualify, and quantify business analytics used to improve perioperative efficiency and effectiveness across patient quality of care, operational efficiency, and financial cost effectiveness. The theoretical and practical implications and/or limitations of this study's results are also discussed with respect to practitioners and researchers alike.","1530-1605;15301605","","10.1109/HICSS.2013.29","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6480159","balanced scorecard approach;business process management;dashboards;perioperative process","Business;Educational institutions;Hospitals;Process control;Safety;Surgery","","","","1","","37","","","7-10 Jan. 2013","","IEEE","IEEE Conference Publications"
"A full lifecycle oriented examination transaction management system","JingYu Wang; QiuZhong Zhou; WuLiang Peng","School of Economics and Management, Shenyang Ligong University, China","Computer Science and Automation Engineering (CSAE), 2011 IEEE International Conference on","","2011","4","","431","434","On teaching practice in tertiary examination management problems in research, teaching for the university examinations in all of professional characteristics and main problems JBPM based on full life-cycle management. Object-oriented method of establishing a comprehensive information system Examination model and architecture, using xml technology to establish a test described in business process templates and using JBPM process control technology, using asp.net technology platform interface, using Ajax and TCP/IP to achieve remote communication, Develop a common, flexible and full life cycle for online examination management integrated platform management model in the college application Examination success.","","","10.1109/CSAE.2011.5952883","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5952883","ajax;examination management;full life-cycle management;jbpm;object-oriented","Computer integrated manufacturing;Computers;Educational institutions;Monitoring;Object oriented modeling;Process control","educational administrative data processing;educational institutions;information systems;object-oriented methods","AJAX;ASP.net technology platform interface;JBPM process control technology;TCP/IP;XML technology;examination transaction management system;full lifecycle management;information system examination model;object-oriented method;tertiary examination management;university examination","","0","","8","","","10-12 June 2011","","IEEE","IEEE Conference Publications"
"Evaluation of the online assessment test using process mining (Case Study: Intensive English Center)","V. Aisa; A. P. Kurniati; A. W. Yanuar Firdaus","Sch. of Comput., Telkom Univ., Bandung, Indonesia","Information and Communication Technology (ICoICT ), 2015 3rd International Conference on","","2015","","","472","477","One process in e-learning is Online Assessment Test which is aimed to determine students' understanding of the materials. Online Assessment Test is usually using Multiple Choice Questions (MCQ). Students are not always answer MCQ sequentially, so that each student can have navigational pattern, which can be different from the predefined navigational model. Different navigational patterns can result in different test performance too. This paper presents the process and result of implementing process mining to compare students answering patterns to the predetermined navigational model of MCQ in online assessment test. Process mining is being used to model the business process flow based on the event log of the information system. In this case, online assessment test is the business process and e-learning system is the information system being analyzed. The output of the process are the test marks, performance, students' strength and weakness, and the analysis of navigational patterns compared to the predefined navigational model.","","","10.1109/ICoICT.2015.7231470","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7231470","e-learning;event log;online assessment test;process mining","Analytical models;Data mining;Data models;Electronic learning;IEC;Navigation","business data processing;computer aided instruction;data mining;educational administrative data processing;information systems","MCQ;business process flow;e-learning system;information system;intensive English center;multiple choice questions;navigational pattern;online assessment test evaluation;process mining;student answering patterns","","0","","20","","","27-29 May 2015","","IEEE","IEEE Conference Publications"
"A practical model for technology and innovation management","J. Butler","R&D Res. Unit, Manchester Bus. Sch., UK","Management of Engineering and Technology, 1999. Technology and Innovation Management. PICMET '99. Portland International Conference on","","1999","1","","103","105 vol.1","The paper describes two models of technology and innovation management that are relevant to all managers, not just technology managers. The first model puts innovation management into a learning organisation framework and can be used to monitor progress and manage projects. It can also be used to evaluate the implementation and improvement of technology management within an organisation, and across virtual organisations and networks. The second model integrates technology management into a multi-disciplinary business context and treats it and the business holistically. This model is compatible with business process thinking and regards innovation as an ongoing technology and business management responsibility rather than a discrete event or project. The two models are complementary but can be used independently. This paper discusses their educational value and practical application","","","10.1109/PICMET.1999.807797","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=807797","","CD-ROMs;Companies;Context modeling;Innovation management;Paper technology;Project management;Research and development;Research and development management;Technological innovation;Technology management","commerce;project engineering;project management;research and development management","R&D;business management responsibility;business process thinking;educational value;innovation management;learning organisation framework;practical application;progress monitoring;project management;technology management","","1","","","","","1999","25 Jul 1999-29 Jul 1999","IEEE","IEEE Conference Publications"
"Construction and Implementation of the ""434' Network Professional Practice Teaching Model under the Regional Environments","L. Wenzhi; L. Zhaobin","Center for Modern Inf. Technol. Applic. in Enterprise, Jiangsu Province Support Software Eng. R&D, Suzhou, China","Information Technology and Applications (IFITA), 2010 International Forum on","","2010","3","","275","278","Computer Network Technology is a practical, comprehensive and highly applied profession, in which the Practice teaching play a key part of Professional capacity Implementing and Professional Quality Training. In this paper, based on our establishment of Computer Network Technology Specialty in Suzhou vocational university and combining with the local area economic development, determine the competency-based training objectives, we identified competency-based training objectives, and built a new skill-based `3DCC' practical course system and a working-process-oriented `434' practice teaching model. Practice has proved that, through built `Double Type' Teaching Staff and a shared network Teaching resources, as well as hierarchical implementation of the `434' practical teaching model, the students' skills in regional special networking have been significantly improved in practice, and the training project and professional ability have been well integrated.","","","10.1109/IFITA.2010.267","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5634664","'434' practice teaching model;3DCC;capacity;computer network professional;working-process-oriented","Computer networks;Educational institutions;Laboratories;Training;Wireless networks","computer networks;computer science education;economics;educational institutions;peer-to-peer computing;teaching;vocational training","434 network professional practice teaching model;Suzhou vocational university;competency based training objective;computer network technology;course double type teaching staff;local area economic development;professional capacity implementation;professional quality training;regional environment;shared network teaching resource;skill based 3DCC practical course system","","0","","8","","","16-18 July 2010","","IEEE","IEEE Conference Publications"
"Using SysML to teach Systems Engineering skills","A. Le Mair; R. Fraanje","Mechatronics department, The Hague University of Applied Sciences","2016 11th France-Japan & 9th Europe-Asia Congress on Mechatronics (MECATRONICS) /17th International Conference on Research and Education in Mechatronics (REM)","","2016","","","001","005","There are several challenges in teaching Systems Engineering to students. The discipline requires projects that are large and complex in order to be able to apply it successfully and for students to see the added value of the methodology. Furthermore, it can be rather process-oriented and the process description can vary, depending on the literature that is being used. However, looking more closely to Systems Engineering, two core skills can be identified that are independent of the project and context; students are trained in:1) black box/white box thinking, 2) using different aspects of a system to develop a complete description of a system. At the Mechatronics education of The Hague University of Applied Sciences, SysML has been chosen as a means to train these skills. It is taught in courses, which students are asked to apply in projects they work on.","","Electronic:978-1-5090-1787-4; POD:978-1-5090-1788-1","10.1109/MECATRONICS.2016.7547106","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7547106","Design Methodology;Education Courses;Mechatronics;System Modelling Language;Systems Engineering;Systems Engineering Education;Training","Mechatronics;Object oriented modeling;Robots;Unified modeling language;Workstations","SysML;computer based training;educational courses;educational institutions;electronic engineering computing;electronic engineering education;mechanical engineering computing;mechatronics;systems engineering;teaching","Hague University of Applied Sciences;SysML;black box thinking;courses;mechatronics education;student training;system description;systems engineering skills;teaching;white box thinking","","","","","","","15-17 June 2016","","IEEE","IEEE Conference Publications"
"Exploring the Cognitive Apprenticeship Approach for Teaching Introductory Software Engineering","Shen-Tzay Huang; Yi-Pei Cho; Yu-Jen Lin","National Pingtung University of Science and Technology","19th Conference on Software Engineering Education and Training Workshops (CSEETW'06)","","2006","","","14","14","Cognitive apprenticeship is meshed with teaching the introductory software engineering. We sketch the idea and an exploratory experiment in a team-based process-oriented software project track in the fall of 2005. Several preliminary results are exciting while detailed examination should also be further pursued.","","","10.1109/CSEETW.2006.8","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1644085","Cognitive Apprenticeship;Learning;Software Engineering Education","Cognitive science;Education;Educational institutions;Java;Mathematics;Problem-solving;Programming;Sociology;Software engineering;Writing","","Cognitive Apprenticeship;Learning;Software Engineering Education","","0","","8","","","19-21 April 2006","","IEEE","IEEE Conference Publications"
"Building a Global Brand: The Case of Wipro","B. Rao; B. Mulloth","Polytechnic University, Department Of Management, Brooklyn, NY, USA","PICMET '07 - 2007 Portland International Conference on Management of Engineering & Technology","","2007","","","1372","1385","In this business case study, we describe the transformation of Wipro, a Bangalore-based information technology company. Founded in 1945 as Western India Vegetable Products Limited, Wipro is today the world's largest independent R&D services provider and among the top three offshore business process outsourcing (BPO) service providers with over 490 clients, 53000 employees and 40 plus development centers across the globe. Wipro's aim was to continue its transformation from a low cost provider of outsourced services to become a global information technology leader, delivering world-class solutions to its global customers through a process of fostering ongoing internal and external innovation while maintaining the cost advantage associated with being located in India. The case also describes the steps senior management at the firm took to enhance brand awareness, brand differentiation, and brand positioning, which were all playing important roles in the growth of the company. Teaching objectives of the case include (a) understanding the evolution on the Wipro brand, (b) developing strategic initiatives to move up the value chain, (c) enabling intellectual leadership and building a global outlook within a large services firm, and (d) managing the challenges and opportunities of a technology-based global delivery model, combined with a multi-location strategy.","2159-5100;21595100","","10.1109/PICMET.2007.4349459","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4349459","","Companies;Costs;Education;Forward contracts;Information technology;Outsourcing;Process planning;Research and development;Technological innovation;Technology management","DP industry;globalisation;marketing;outsourcing;research and development","BPO service providers;R&D services provider;Wipro;brand awareness;brand differentiation;brand positioning;business process outsourcing;development centers;global customers;information technology;intellectual leadership;multilocation strategy;technology-based global delivery model;value chain","","0","","44","","","5-9 Aug. 2007","","IEEE","IEEE Conference Publications"
"Mining decision to discover the relation of rules among decision points in a non-free choice construct","R. Sarno; P. L. I. Sari; D. Sunaryono; B. Amaliah; I. Mukhlash","Informatics Departmentand, Institut Teknologi Sepuluh Nopember Surabaya, Indonesia","Information, Communication Technology and System (ICTS), 2014 International Conference on","","2014","","","53","58","Decision mining is a combination of process mining and machine learning algorithms to retrieve information on how data attributes in a business process affect routing of a case. It analyzes decision point by looking for XOR-splits in petri-net workflow model and examining rules for each choice based on available attributes using decision tree. The rules for each decision point are based on the attribute's influence to the case. Meanwhile, a non-free choice construct is a mixture of choice and synchronization, which will create limited choices in the workflow. The limitation of choice will then affect the rules found in non-free choice construct using decision mining technique. Limitation of rules makes it possible to examine the relation among rules in the workflow. The relation of these rules will emerge a certain property of a non-free choice construct. Rules for two decision points within a non-free choice construct will have similarities. Regarding to this, when the same rule is found during a decision mining process, we can determine that the decision points have a non-free choice relationship.","","","10.1109/ICTS.2014.7010557","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7010557","decision mining;decision tree;non-free choice;process mining","Algorithm design and analysis;Analytical models;Business;Data mining;Decision trees;Routing;Synchronization","data mining;decision trees","business process;decision mining technique;decision points;decision tree;information retrieval;machine learning algorithms;non-free choice construct;process mining","","0","","14","","","24-24 Sept. 2014","","IEEE","IEEE Conference Publications"
"Prototype of multiagent knowledge assessment system for support of process oriented learning","A. Anohina; J. Grundspenkis","Dept. of Syst. Theor. & Design, Riga Tech. Univ.","2006 7th International Baltic Conference on Databases and Information Systems","","2006","","","211","219","The paper describes a multiagent concept map based system that has been developed for learners' knowledge assessment in process-oriented learning. At the meta-level it consists of an intelligent agent for assessment of learners' current knowledge level and a group of human agents, i.e. learners who are communicating with this agent. The paper presents the architecture of the system in terms of modules, their functions and interaction, giving the special attention to the intelligent assessment agent, which at the moment is composed of communication, knowledge evaluation, interaction registering, and expert agents. It also includes an example of system's performance, which is accompanied by screen shots, and test results of the intelligent knowledge assessment system in four different learning courses","","","10.1109/DBIS.2006.1678499","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1678499","","Artificial intelligence;Communications technology;Education;Feedback;Humans;Intelligent agent;Intelligent systems;Prototypes;System testing;Turning","educational administrative data processing;educational courses;expert systems;multi-agent systems","expert agents;intelligent assessment agent;interaction registering;knowledge evaluation;learning courses;multiagent concept map based system;multiagent knowledge assessment system;process oriented learning","","1","","18","","","0-0 0","","IEEE","IEEE Conference Publications"
"[Title page i]","","","Information Management and Engineering, 2009. ICIME '09. International Conference on","","2009","","","i","i","The following topics are dealt with: information management; information engineering; business process modeling; network intrusion detection; object-oriented system; data mining; knowledge sharing; CRM; banking; information retrieval; SME; knowledge management; e-government; information system; wireless mesh network; workflow management; fuzzy c-mean clustering; learning automata and expert system.","","","10.1109/ICIME.2009.1","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5076980","","","information management","CRM;SME;banking;business process modeling;data mining;e-government;expert system;fuzzy c-mean clustering;information engineering;information management;information retrieval;information system;knowledge management;knowledge sharing;learning automata;network intrusion detection;object-oriented system;wireless mesh network;workflow management","","0","","","","","3-5 April 2009","","IEEE","IEEE Conference Publications"
"Isastur Modeler: A tool for BPMN MUSIM","J. S. Mart&#x00ED;nez; B. C. Pelayo Garc&#x00ED;a-Bustelo; V. Garc&#x00ED;a D&#x00ED;az; J. M. Cueva Lovelle","M&#x00E1;ster Oficial en Ingenier&#x00ED;a Web, Escuela de Ingenier&#x00ED;a Inform&#x00E1;tica, Universidad de Oviedo, Espa&#x00F1;a","6th Iberian Conference on Information Systems and Technologies (CISTI 2011)","","2011","","","1","6","Despite the evolution that computer science has undergone during the last years, application development hasn't seen such an improvement in the time needed for a software tool to be built, some of it being consumed by the requirements engineering process. Involving the user in the development of the applications via the features that BPM brings can be a solution to this aspect, as the requirements would be specified by the domain experts and most of the difficulties of the requirements engineering process would be avoided. However, business process modeling notations seem to be a little bit complex for domain experts with reduced computer knowledge and their participation in the requirements engineering process turns complicated due to the difficulties derived from learning and using these notations. BPMN MUSIM tries to reduce the number of elements needed in a business process modeling notation to the minimum necessary and thus lowers the difficulties that domain experts experience when modeling their processes. The major problem regarding BPMN MUSIM is that there is no modeling software that enables it use, so we have decided to design and build a process modeling tool called Isastur Modeler that is used for business process modeling with BPMN MUSIM.","2166-0727;21660727","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5974209","BPMN;BPMN MUSIM;Business Process Modeling;SBPMN;Windows Workflow;jPDL;usability tests","Adaptation models;Business;Complexity theory;Computational modeling;Computers;Load modeling;Unified modeling language","business process re-engineering","BPMN MUSIM;Isastur modeler;business process modeling notations;requirements engineering process","","0","","9","","","15-18 June 2011","","IEEE","IEEE Conference Publications"
"A software engineering subject on system description techniques","E. Chang","Dept. of Comput. Sci. & Comput. Eng., La Trobe Univ., Bundoora, Vic., Australia","Software Engineering: Education and Practice, 1996. Proceedings. International Conference","","1996","","","124","129","The paper describes a software engineering subject on system description techniques (SDT). This course explains the system description techniques (SDTs) for describing both the models that arise from analysis as well as design. It is therefore of immense importance as a prelude to the software engineering project. The students are introduced to a wide number of techniques including data oriented, process oriented, state oriented and object oriented techniques. These techniques describe somewhat different aspects of a software system. There are a number of problems related to teaching, students, lack of suitable books and examples. The paper describes how they are addressed","","","10.1109/SEEP.1996.533990","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=533990","","Application software;Australia;Books;Computer industry;Computer science;Education;Object oriented modeling;Programming;Software engineering;Software systems","computer aided instruction;computer science education;object-oriented programming;software engineering;systems analysis;teaching","SDT;example problems;object oriented techniques;software engineering project;software engineering subject;student problems;system description techniques;teaching problems","","1","","19","","","24-27 Jan 1996","24 Jan 1996-27 Jan 1996","IEEE","IEEE Conference Publications"
"On workflow enabled e-learning services","J. Lin; C. Ho; W. Sadiq; M. E. Orlowska","Sch. of Comput. Sci. & Electr. Eng., Queensland Univ., Qld., Australia","Advanced Learning Technologies, 2001. Proceedings. IEEE International Conference on","","2001","","","349","352","Workflow technology provides a suitable platform to define and manage the coordination and allocation of business process activities. We introduce the Flex-eL (Flexible electronic Learning) environment that has been built upon workflow technology. The workflow functionality of Flex-eL manages the coordination of learning and assessment activities of the course process between students and teaching staff. It provides a unique environment for teachers to design and develop process-centric courses and to monitor student progress. It allows students to learn at their own pace while observing the learning guidelines and checkpoints modelled into the course process by teaching staff. We also report on the successful deployment of the concept and system for a university course and our experiences from the implementation","","","10.1109/ICALT.2001.943942","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=943942","","Buildings;Computer science;Data security;Educational technology;Electronic learning;Guidelines;Information security;Monitoring;Packaging;Process design","authoring systems;computerised monitoring;educational computing;educational courses;teaching;workflow management software","Flex-eL;assessment activities;business process activities allocation;business process activity coordination;checkpoints;educational course process;flexible electronic learning environment;implementation;learning activities;learning guidelines;process-centric course development;self-paced learning;student progress monitoring;teaching staff;university course;workflow-enabled electronic learning services","","11","","6","","","2001","06 Aug 2001-08 Aug 2001","IEEE","IEEE Conference Publications"
"The design of online English writing instruction for middle schools","Meina Luo; Chenyin Zhong; Yishu Fei","Foreign Languages College, Zhejiang Normal University, Jinhua, 321004, China","Artificial Intelligence and Education (ICAIE), 2010 International Conference on","","2010","","","387","390","With the further application of multimedia network technology to the field of education, the times of cyber-learning has quietly approached us, which definitely brings new insights into English writing instruction in middle schools. Based on the exploration of the online writing instruction model with the consideration of the characteristics of middle school students, the paper presents the contents and the procedures of online English writing instruction, and the design of suitable writing website which is directed towards the implementation of a process-oriented writing environment where full assistance is provided and dynamic interaction is fostered.","","","10.1109/ICAIE.2010.5641090","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5641090","interactions;network;online English writing instruction;supportive","Book reviews;Educational institutions;Lead;Sparks;Writing","Internet;computer aided instruction;multimedia computing","English writing instruction;middle school;multimedia network technology;online english writing instruction;online writing instruction model;process oriented writing environment;writing Website design","","0","","4","","","29-30 Oct. 2010","","IEEE","IEEE Conference Publications"
"Benchmarking technology infrastructures for embarrassingly and non-embarrassingly parallel problems in biomedical domain","S. A. Kazmi; M. J. Kane; M. O. Krauthammer","Yale Center for Medical Informatics, Yale University School of Medicine. New Haven, CT 06511, USA","Biomedical Sciences and Engineering Conference (BSEC), 2013","","2013","","","1","4","Having the advantage of large scale open source data available to us in multiple forms, the ultimate goal is to integrate these resources with gene sequence data to enhance our understanding and make viable inferences about the true nature of the processes that generate this data. We are investigating the use of open source subset of the National Institute of Health's National Library of Medicine (NIH/NLM) data for our analysis including text as well as image features to semantically link similar publications. Due to the sheer volume of data as well as the complexity of inference tasks, the initial problem is not in the analysis but lies in making a decision about the computational infrastructure to deploy and in data representation that will help accomplish our goals. Just like any other business process, reducing processing cost and time is of essence. This work benchmarks two open source platforms (A) Apache Hadoop with Apache Mahout, and (B) open source R using bigmemory package for performing non-embarrassingly parallel and embarrassingly parallel machine learning tasks. Singular Value Decomposition (SVD) and k-means are used to represent these two problem classes respectively and average task time is evaluated for the two architectures for a range of input data sizes. In addition, performance of these algorithms using sparse and dense matrix representation is also evaluated for clustering and feature extraction tasks. Our analysis shows that R is not able to process data larger than 2 giga-bytes, with an exponential performance degradation for data larger than 226 mega-bytes. Bigmemory package in R allowed processing of larger data but with similar degradation beyond 226 mega-bytes. As expected, Hadoop/Mahout did not perform well for SVD as compared to k-means due to the tightly coupled nature of data needed at each step and is only justified for processing of very large data sets.","","","10.1109/BSEC.2013.6618496","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6618496","","Benchmark testing;Databases;Educational institutions;Hardware;Software;Sparse matrices;Vectors","computational complexity;inference mechanisms;learning (artificial intelligence);medical information systems;parallel processing;pattern clustering;public domain software;singular value decomposition;sparse matrices","Apache Hadoop;Apache Mahout;NIH-NLM;SVD;bigmemory package;biomedical domain;business process;clustering tasks;data representation;dense matrix representation;embarrassingly parallel problems;feature extraction tasks;gene sequence data;inference task complexity;large scale open source data;machine learning tasks;national institute of health national library of medicine;nonembarrassingly parallel problems;open source R;open source subset;singular value decomposition;sparse matrix representation;technology infrastructure benchmarking","","0","","14","","","21-23 May 2013","","IEEE","IEEE Conference Publications"
"One step beyond: making B2B decisions with business activity monitoring and soccer","E. Espinosa; A. Junco; F. Ramos; J. Ramirez","Dept. of Comput. Sci., Tecnologico de Monterrey, Mexico City, Mexico","Systems, Man and Cybernetics, 2004 IEEE International Conference on","","2004","3","","2084","2089 vol.3","We present a formal method to execute business activity monitoring (BAM) on a small or medium sized business (SMB) that is undergoing re-engineering towards process-based workflow operations. On these enterprises, real-time access to critical performance indicators improves the speed and effectiveness of their overall logistical machinery. Businesspeople will be defined as actors in uncertain and conflictive situations. The dynamics of real-life negotiation poses challenges when creating models of how people interact and settle down strategic differences. We offer a functional analogy between collaborative strategies in a soccer match and B2B processes that feed on BAM data. We characterize negotiations using Q-learning on actions that feed on BAM knowledge when searching for a common goal. We present soccer and BAM-B2B demo software. Along the way, we pay special attention to the needs of SMB's, both in Mexico, and abroad, and thus concentrate on designing future products for business process management (BPM).","1062-922X;1062922X","","10.1109/ICSMC.2004.1400634","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1400634","","Business process re-engineering;Collaboration;Computer science;Computerized monitoring;Feeds;Humans;Magnesium compounds;Product design;Supply chain management;Supply chains","business process re-engineering;learning (artificial intelligence);real-time systems;small-to-medium enterprises","B2B decisions;Q-learning;business activity monitoring;business process management;critical performance indicators;formal method;functional analogy;logistical machinery;process-based workflow operations;real-life negotiation;real-time access;small or medium sized business;soccer match","","2","","11","","","10-13 Oct. 2004","","IEEE","IEEE Conference Publications"
"The distributed simulation of multiagent systems","B. Logan; G. Theodoropoulos","Dept. of Comput. Sci., Nottingham Univ., UK","Proceedings of the IEEE","","2001","89","2","174","185","Agent based systems are increasingly being applied in a wide range of areas including telecommunications, business process modeling, computer games, control of mobile robots, and military simulations. Such systems are typically extremely complex and it is often useful to be able to simulate an agent based system to learn more about its behavior or investigate the implications of alternative architectures. The authors discuss the application of distributed discrete event simulation techniques to the simulation of multiagent systems. We identify the efficient distribution of the agents' environment as a key problem in the simulation of agent based systems and present an approach to the decomposition of the environment that facilitates load balancing","0018-9219;00189219","","10.1109/5.910853","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=910853","","Computational modeling;Computer simulation;Discrete event simulation;Military communication;Military computing;Mobile robots;Multiagent systems;Robot control;Telecommunication computing;Telecommunication control","discrete event simulation;distributed processing;multi-agent systems;resource allocation;virtual machines","agent based system simulation;agent based systems;agent environment;business process modeling;computer games;distributed discrete event simulation techniques;distributed simulation;load balancing;military simulations;mobile robots;multiagent system simulation;telecommunications","","59","1","62","","","Feb 2001","","IEEE","IEEE Journals & Magazines"
"Research on work-process-oriented curriculum development","Xueping Chen","Technician College, Chongqing College of Electronic Engineering, 401331, China","Educational and Information Technology (ICEIT), 2010 International Conference on","","2010","3","","V3-1","V3-4","Listed as a state model vocational college, Chongqing College of Electronic Engineering in the process of building model colleges has conducted in-depth study and exploration of work-process-oriented curriculum development and developed typical tasks, learning context, teaching resources and learning context evaluation of professional courses, playing an important role in top-quality course construction and model college building of our college.","","","10.1109/ICEIT.2010.5608434","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5608434","curriculum development;learning context;tasks;work-process","Teamwork","educational courses;educational institutions;professional aspects;teaching","Chongqing College of Electronic Engineering;building model colleges;learning context evaluation;model college building;professional courses;state model vocational college;teaching resources;top-quality course construction;work-process-oriented curriculum development","","0","","2","","","17-19 Sept. 2010","","IEEE","IEEE Conference Publications"
"The nature of learning in a guided inquiry classroom","E. P. Douglas; J. Vargas; C. Sotomayor","Dept. of Mater. Sci. & Eng., Univ. of Florida, Gainesville, FL, USA","2013 IEEE Frontiers in Education Conference (FIE)","","2013","","","236","238","Active learning approaches are becoming of increasing importance within engineering education, and it has been established that an active learning environment leads to improved student outcomes. What is less known is the ways in which these classes support student learning. Our study takes place in the context of a Process Oriented Guided Inquiry Learning (POGIL) classroom. We use grounded theory to answer the research question: How do students construct knowledge in a POGIL classroom? Constructivist grounded theory was used to code student interview data and develop a theory of how student learning occurs. The resulting theory shows that the use of POGIL results in a concept-focused class, as opposed to focusing on discrete aspects of knowledge (facts). This concept-focused class provides for both conceptual understanding and improved retention of information. The findings illustrate one way to design a class for deep conceptual understanding and suggest broader implications for curriculum design.","0190-5848;01905848","","10.1109/FIE.2013.6684824","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6684824","active learning;grounded theory;guided inquiry","Chemistry;Educational institutions;Engineering education;Equations;Interviews;Materials","engineering education","POGIL classroom;active learning environment;concept-focused class;conceptual understanding;constructivist grounded theory;curriculum design;discrete aspects;engineering education;guided inquiry classroom;information retention;process oriented guided inquiry learning classroom;student interview data;student learning;student outcomes","","0","","18","","","23-26 Oct. 2013","","IEEE","IEEE Conference Publications"
